current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;304.94086;306.2705466028763;311.4546705472243;4000;773.2756423073556;773.22860711566;773.22860711566;70.0;66.26280590792648;70.0;50;50.0;0.0;3;50;50;0.9189736332296476;7.227651043168578;3113.989330179547;3396.4162500000007;184.0;180.0;136.0;0;6
1;303.0570470464885;305.54446;306.44585792230436;311.4546705472243;4000;773.3627102869848;773.268779073234;773.268779073234;70.0;62.73727974494889;70.0;50;50.0;0.0;3;50;50;0.9606241093146309;136.4512766286624;3126.228058389327;3396.41625;184.0;180.0;136.0;0;6
2;303.0851434335555;306.07144;306.71200912927264;311.4546705472243;4000;773.4496844485503;773.3089058583734;773.3089058583734;70.0;63.11423594201283;70.0;50;50.0;0.0;3;50;50;1.0281053609146185;297.2387842017387;3194.634970320787;3396.41625;184.0;180.0;136.0;0;6
3;303.11295885675185;306.4554;306.9359008734599;311.4546705472243;4000;773.5365648931437;773.3489875218735;773.3489875218735;70.0;63.37185708067986;70.0;50;50.0;0.0;3;50;50;1.083686993561569;438.0042639678775;3242.64785087828;3396.41625;184.0;180.0;136.0;0;6
4;303.14049612571625;306.78763;307.11778742828017;311.4546705472243;4000;773.6233517217473;773.3890241144726;773.3890241144726;70.0;63.571747498553194;70.0;50;50.0;-1.4210854715202004e-14;3;50;50;1.127440289535323;550.1784883184386;3279.078031964038;3396.41625;184.0;180.0;136.0;0;6
5;303.167758021991;307.08438;307.26593307472217;311.4546705472243;4000;773.7100450352351;773.4290156868519;773.4290156868519;70.0;63.73986169467696;70.0;50;50.0;0.0;3;50;50;1.161707130940884;637.2185037343518;3308.422473534144;3396.41625;184.0;180.0;136.0;0;6
6;303.194747299303;307.30215;307.387361513649;311.4546705472243;4000;773.7966449343719;773.4689622896356;773.4689622896356;70.0;63.89181370626122;70.0;50;50.0;1.4210854715202004e-14;3;50;50;1.1884777412921717;703.7123767398072;3332.852736548222;3396.41625;184.0;180.0;136.0;0;6
7;303.22146668384187;307.51703;307.48721141039994;311.4546705472243;4000;773.8831515198142;773.5088639733908;773.5088639733908;70.0;64.03842903996214;70.0;50;50.0;0.0;3;50;50;1.209208002062639;753.3294846788338;3353.6442231567476;3396.41625;184.0;180.0;136.0;0;6
8;303.24791887453534;307.5512;307.57105664865617;311.4546705472243;4000;773.96956489211;773.5487207886281;773.5487207886281;70.0;64.19257965737246;70.0;50;50.0;0.0;3;50;50;1.2254771735260706;790.1079603504228;3372.1226258175943;3396.4162500000007;184.0;180.0;136.0;0;6
9;303.2741065433219;307.78375;307.6406090610698;311.4546705472243;4000;774.055885151699;773.588532785801;773.588532785801;70.0;64.36407798605761;70.0;50;50.0;0.0;3;50;50;1.2377697504059908;815.5129953028304;3388.468298734521;3396.4162500000007;184.0;180.0;136.0;0;6
10;303.3000323354206;307.63577;307.6904065386154;311.4546705472243;4000;774.1421123989127;773.6283000153064;773.6283000153064;70.0;64.52763575147678;70.0;50;50.0;0.0;3;50;50;1.2445366422186468;826.2582098567838;3400.706265495065;3396.41625;184.0;180.0;136.0;0;6
11;303.3256988695983;307.6992;308.47793736722167;311.4546705472243;9500.0;774.2282467339742;773.6680225274845;773.6680225274845;70.0;64.59789617036071;70.0;50;100.0;0.0;3;50;50;0.4949994897791279;831.6897687864807;4128.782411955336;10021.166250000002;184.0;180.0;136.0;0;6
12;303.3511087384342;308.81366;308.5152756917689;311.4546705472243;9500.0;774.8468969649261;774.2272293670275;774.2272293670275;70.0;64.4532965982219;70.0;50;100.0;0.0;3;50;50;0.49614551193895035;828.7424812056636;4143.21417812592;10021.16625;184.0;180.0;136.0;0;6
13;303.37626450858176;308.56982;308.54252810940693;311.4546705472243;9500.0;775.4648805838011;774.7858073914485;774.7858073914485;70.0;64.3422874750502;70.0;50;100.0;0.0;3;50;50;0.4963469466043875;819.4505498502529;4154.5247197521885;10021.166250000002;184.0;180.0;136.0;0;6
14;303.40116872102783;308.52344;308.5636494332233;311.4546705472243;9500.0;776.0821983088912;775.3437573078359;775.3437573078359;70.0;64.21551200721544;70.0;50;100.0;0.0;3;50;50;0.4959835069184255;805.1260183272765;4165.2071617602915;10021.166250000002;184.0;180.0;136.0;0;6
15;303.42582389134947;308.75732;308.57964877760094;311.4546705472243;9500.0;776.6988508577147;775.9010798224822;775.9010798224822;70.0;64.16712122364125;70.0;50;100.0;0.353821382845706;3;50;50;0.4951519015049938;787.4524660635551;4174.5470579216135;10021.166250000002;184.0;180.0;136.0;0;6
16;303.45023250996786;308.55893;308.59340971532873;311.4546705472243;9500.0;777.3148389470167;776.4577756408863;776.4577756408863;70.0;64.17209576067788;70.0;50;100.0;0.435102009689345;3;50;50;0.4941289293326851;769.3640736123365;4182.384076165003;10021.166250000002;184.0;180.0;136.0;0;6
17;303.4743970424001;308.7678;308.6072622673898;311.4546705472243;9500.0;777.9301632927701;777.0138454677536;777.0138454677536;70.0;64.13479731834391;70.0;50;100.0;1.3764678390499399;3;50;50;0.49313820946893994;751.3588484906568;4190.461132824916;10021.166250000002;184.0;180.0;136.0;0;6
18;303.498319929508;308.61215;308.6207160731527;311.4546705472243;9500.0;778.5448246101762;777.5692900069971;777.5692900069971;70.0;64.17155053978051;70.0;50;100.0;2.567217731958306;3;50;50;0.4921323961847513;734.1966714404404;4197.54388773782;10021.166250000002;184.0;180.0;136.0;0;6
19;303.52200358774485;308.72314;308.63626682854755;311.4546705472243;9500.0;779.1588236136656;778.1241099617381;778.1241099617381;70.0;64.23476402314752;70.0;50;100.0;3.4039935787903572;3;50;50;0.4913510304232343;718.9825049698842;4204.9278580101545;10021.166250000002;184.0;180.0;136.0;0;6
20;303.5454504093993;308.72327;308.65339438872604;311.4546705472243;9500.0;779.7721610168993;778.6783060343074;778.6783060343074;70.0;64.28749084566093;70.0;50;100.0;3.6858113506795434;3;50;50;0.4907439096139333;705.8890737451437;4211.937230671057;10021.166250000002;184.0;180.0;136.0;0;6
21;303.56866276283716;308.74878;308.671658579942;311.4546705472243;9500.0;780.3848375327691;779.2318789262462;779.2318789262462;70.0;64.31712979087456;70.0;50;100.0;4.018340318300389;3;50;50;0.4902685166801015;695.2610551217728;4217.801257670424;10021.166250000002;184.0;180.0;136.0;0;6
22;303.5916429927407;308.76395;308.6924517014711;311.4546705472243;9500.0;780.9968538733987;779.7848293383065;779.7848293383065;70.0;64.37895958617709;70.0;50;100.0;4.416308351985734;3;50;50;0.4900583910172592;686.5580227234897;4224.3985858679725;10021.166250000002;184.0;180.0;136.0;0;6
23;303.61439342034515;308.77975;308.7183844643577;311.4546705472243;9500.0;781.6082107501444;780.3371579704525;780.3371579704525;70.0;64.46691538373105;70.0;50;100.0;4.906475423736526;3;50;50;0.4903641327529524;681.469094077597;4232.55140327681;10021.166250000002;184.0;180.0;136.0;0;6
24;303.6369163436736;308.79822;308.7450693414543;311.4546705472243;9500.0;782.2189088735962;780.8888655218614;780.8888655218614;70.0;64.56957677011997;70.0;50;100.0;5.276423870077099;3;50;50;0.4907639909879086;678.3494703585865;4239.6780728447475;10021.166250000002;184.0;180.0;136.0;0;6
